id,expected_jp,zh_cn,reason
game_t00283,「――席次番号１９番ッ！」\p,「——席次编号19号！」,text1；仅以同一 JP 场景和 speaker 为依据
game_t00537,「はあ～、\wなんだそれ～！？　結局一緒じゃんか～！」,「哈啊～搞什么啊～！？结果不还是一样嘛～！」,text1；仅以同一 JP 场景和 speaker 为依据
game_t00538,「え～」\p,「诶～」,text2；仅以同一 JP 场景和 speaker 为依据
game_t00563,「…\w…\wうん、\wそうね」,「……嗯，也是啊。」,text1；仅以同一 JP 场景和 speaker 为依据
game_t00564,「うん！」\p,「嗯！」,text2；仅以同一 JP 场景和 speaker 为依据
game_t00568,「うん！」\p,「嗯！」,text2；仅以同一 JP 场景和 speaker 为依据
game_t00628,「――はい、\w教官殿っ！」\p,「——是，教官阁下！」,text1；仅以同一 JP 场景和 speaker 为依据
game_t00734,「――おう！」,「——哦！」,text1；仅以同一 JP 场景和 speaker 为依据
game_t00735,「――うんっ！」\p,「——嗯！」,text2；仅以同一 JP 场景和 speaker 为依据
game_t00740,「――！！」\p,「——！！」,text1；纯符号行保留引擎终止控制
game_t00769,「――やああああああッ！！」,「——呀啊啊啊啊啊！！」,text1；仅以同一 JP 场景和 speaker 为依据
game_t00770,「――うりゃああああああ！！」,「——喝呀啊啊啊啊啊！！」,text2；仅以同一 JP 场景和 speaker 为依据
game_t01654,「――っ…\w…\w！！」\p,「——唔……！！」,text1；仅以同一 JP 场景和 speaker 为依据
game_t01902,「――はい、\w教官殿ッ！！」\p,「——是，教官阁下！！」,text1；仅以同一 JP 场景和 speaker 为依据
game_t02801,「ごきげんよう、\w山城さん」\p,「贵安，山城同学。」,text1；称谓与正文既定译法统一
game_t03138,「――私の勝手な行動が最大の原因です、\w教官殿」\p,「——我擅自行动是最大的原因，教官阁下。」,text1；仅以同一 JP 场景和 speaker 为依据
game_t03153,「…\w…\w？！」\p,「……？！」,text3；纯符号行保留引擎终止控制
game_t04598,「――篁さんッ！？」\p,「——篁同学！？」,text1；称谓与正文既定译法统一
game_t04639,「――真田教官ッ！？」,「——真田教官！？」,text1；仅以同一 JP 场景和 speaker 为依据
game_t04640,「…\w…\w…\w…\w教官…\w…\wッ！？」\p,「……教官……！？」,text2；仅以同一 JP 场景和 speaker 为依据
game_t04655,「…\w…\wッ！？」\p,「……！？」,text2；仅以同一 JP 场景和 speaker 为依据
