id	jp	zh_cn
20001	プロローグ	序章
20004	エピローグ	尾声
20005	2001年 9月22日	2001年9月22日
20006	1997年 4月14日	1997年4月14日
20007	1997年 4月25日	1997年4月25日
20008	1997年 5月19日	1997年5月19日
20009	1997年 5月20日	1997年5月20日
20010	1997年 5月30日	1997年5月30日
20011	1997年 6月7日	1997年6月7日
20012	1997年 7月15日	1997年7月15日
20013	1997年 8月28日	1997年8月28日
20014	1997年 9月16日	1997年9月16日
20015	1997年 12月14日	1997年12月14日
20016	1997年 12月23日	1997年12月23日
20017	1998年 1月26日	1998年1月26日
20018	1998年 3月17日	1998年3月17日
20019	1998年 7月7日	1998年7月7日
20020	1998年 7月9日	1998年7月9日
20021	1998年 7月10日	1998年7月10日
20022	1998年 7月12日	1998年7月12日
20023	1998年 7月14日	1998年7月14日
20024	1998年 7月15日	1998年7月15日
20025	1998年 9月24日	1998年9月24日
50002	タイトル画面に戻ります。\tよろしいですか？\t保存されていないデータ等は\t失われます。	返回标题画面。\t确定吗？\t未保存的数据等\t将会丢失。
50003	ロードしてゲームを再開します。\t現在のデータは保存されません。\tよろしいですか？	读取存档并继续游戏。\t当前数据不会保存。\t确定吗？
50004	セーブデータを上書きします。 \tよろしいですか？	将覆盖保存数据。\t确定吗？
50005	ロードしています。	正在读取。
50006	セーブしています。	正在保存。
50007	曲	音乐
50008	ボイス	语音
50009	ゲーム効果音	游戏音效
50010	右ドラッグで移動	按住右键拖动
50011	二本指タッチ＋スクロールで移動	双指触摸并滑动
50012	画面表示設定	画面显示设置
50013	初期設定に戻す	恢复默认设置
50014	操作説明	操作说明
50015	メニュー効果音	菜单音效
50016	アプリを終了します。\tよろしいですか？	退出游戏。\t确定吗？
50017	拡大表示\t(端末にあわせる)	放大显示\t（适配设备）
50018	固定表示\t(ゲーム画面にあわせる)	固定显示\t（适配游戏画面）
50019	マスターボリューム	主音量
50020	言語	语言
50022	固定待機時間	固定等待时间
50023	フルスクリーン表示	全屏显示
50024	言語切り替え	切换语言
50025	音量	音声
50027	キャラボイス切替	角色语音设置
50028	自動	自动
50029	日本語	简体中文
50030	英語	英语
50031	メッセージ長比例時間	按消息长度调整时间
50032	これはサンプルテキストです。\tこの文字数で、このような表示切り替え時間となります。	这是示例文本。\t按此字数显示时，画面切换时间如下。
50033	サンプルテキストです	示例文本
50034	ボイス音量	语音音量
50035	オート再生・早送り設定	自动播放与快进设置
50036	クリックで「早送り」を解除する	点击后停止“快进”
50037	選択肢が表示された時「早送り」を解除する	显示选项时停止“快进”
50038	初めて閲覧するシーンでも「早送り」を継続する	初次阅读的场景也继续“快进”
50039	早送り停止後にクリックして早送りを再開する	快进停止后点击以恢复快进
50040	クリックで「オート再生」を解除する	点击后停止“自动播放”
50041	「オート再生中」にクリックしてページ送りをする	“自动播放”时点击以翻页
50042	ボイス停止条件	语音停止条件
50043	入力によるボイスの停止モード	输入时停止语音的模式
50044	常に停止	始终停止
50045	ボイス再生時に停止	播放语音时停止
50046	同一話者ボイス\t再生時のみ停止	仅播放同一说话人语音时停止
50047	システム設定	系统设置
50048	一定時間マウスカーソルを動かさなかったら消す	一段时间未移动鼠标时隐藏光标
50049	オートモード中スクリーンセーバーを起動させない	自动模式下不启动屏幕保护程序
50090	高度な設定	高级设置
50091	アイコンを長押しするとボリュームを変更できます	长按图标可调整音量
50092	ボイス停止条件	语音停止条件
50093	低解像度モードで動作	以低分辨率模式运行
50094	低解像度モードで起動します。\tこの設定はオプション画面で\t変更できます。	将以低分辨率模式启动。\t可在设置画面中\t更改此选项。
50095	アプリケーションを再起動しますがよろしいですか？\t保存されていないデータ等は失われます。	即将重启游戏，确定吗？\t未保存的数据等将会丢失。
50096	アプリケーションを再起動しますが\tよろしいですか？\t保存されていないデータ等は\t失われます。	即将重启游戏，\t确定吗？\t未保存的数据等\t将会丢失。
